,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
1,2hT9vWmKp6uduKzmalqeMA,0.644,0.632,2,-5.927,0.0376,0.162,0.342,0.132,0.219,114.986
2,3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,4,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949
3,6wQlQrTY5mVS8EGaFZVwVF,0.694,0.685,6,-6.535,0.133,0.224,0.0,0.124,0.306,158.831
4,7xn4QcdEGKTRIEzcbEZ6ZW,0.668,0.618,6,-7.701,0.0457,0.106,0.0,0.117,0.53,94.977
5,6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
6,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95
7,6VhuP99TE6gYNQRJIlAWFD,0.346,0.5,10,-6.097,0.0388,0.757,0.0,0.189,0.191,202.466
8,3obnp1i01eTrrU816HOfxx,0.739,0.694,0,-5.217,0.0406,0.15,4.38e-05,0.125,0.446,94.99
9,5XwJ2psedaCq8wPQEbjKgp,0.813,0.782,6,-5.017,0.046,0.127,0.0,0.0553,0.819,104.987
10,0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999
11,05nbZ1xxVNwUTcGwLbp7CN,0.749,0.398,5,-7.44,0.171,0.648,1.26e-06,0.115,0.0859,80.032
12,5u1n1kITHCxxp8twBcZxWy,0.673,0.704,6,-8.056,0.36,0.196,0.0,0.0898,0.372,86.919
13,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,0.0964,0.213,0.0,0.112,0.604,78.521
14,4jmgqUbDHFqFBU29CcG4Hd,0.675,0.355,11,-7.798,0.0327,0.784,9.06e-05,0.111,0.225,116.948
15,2c5LB4wbweJ73WA8t0GxY6,0.662,0.659,6,-4.642,0.155,0.0225,0.0,0.107,0.363,135.95
16,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98
17,53QF56cjZA9RTuuMZDrSA6,0.483,0.303,4,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406
18,5rZlwNFl01HqLWBQGryKSm,0.48,0.602,10,-6.335,0.368,0.487,0.0,0.0848,0.269,179.798
19,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975
20,7pdF27mSDuPWhppnHAmWHa,0.735,0.525,6,-2.939,0.0441,0.653,0.918,0.101,0.369,160.147
21,2jppfWqd0NmoYK81irH7Gk,0.716,0.563,3,-5.486,0.0426,0.326,0.0,0.119,0.494,86.005
22,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,0.0439,0.0275,0.0,0.118,0.472,180.114
23,2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,7,-5.368,0.0388,0.0546,0.0,0.154,0.504,130.007
24,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,1,-9.75,0.201,0.321,6.15e-06,0.114,0.837,81.618
25,7iHHxY2NLlJRAmlAmC4ahQ,0.748,0.648,10,-6.445,0.0816,0.484,0.0,0.126,0.726,139.952
26,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151
27,3dhjNA0jGA8vHBQ1VdD6vV,0.773,0.819,0,-5.946,0.118,0.428,0.0,0.0679,0.585,92.987
28,2M9ro2krNb7nr7HSprkEgo,0.711,0.292,4,-15.523,0.037,0.313,0.0,0.131,0.194,103.951
29,5A5bLKdL5I3k3FTEQlAUw7,0.734,0.828,6,-4.433,0.033,0.398,0.0225,0.136,0.717,127.023
30,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277
31,0XO2hckt5aHvvwH7FFdVYF,0.708,0.358,11,-9.815,0.0563,0.157,0.0,0.109,0.118,122.021
32,63SevszngYpZOwf63o61K4,0.6,0.688,5,-8.339,0.201,0.159,1.29e-05,0.409,0.0793,99.977
33,4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,8,-4.808,0.0335,0.152,0.0,0.109,0.796,122.58
34,7dH9TPjTWQ60wOJkmYay8a,0.761,0.517,5,-6.916,0.0927,0.114,0.0,0.157,0.46,147.912
35,2rUsrO3r74hZTk7WqT4ZiG,0.743,0.488,0,-6.764,0.0392,0.217,0.00507,0.122,0.694,87.488
36,78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,4,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023
37,69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05
38,1Ct6q8dBVeX9nrF9WBPyYl,0.838,0.543,8,-12.841,0.167,0.294,3.87e-06,0.12,0.708,93.017
39,1VNAeze2UtitR9any3Kaiw,0.776,0.654,7,-5.167,0.056,0.0552,2.51e-06,0.0903,0.2,104.964
40,6u8hSdYZxbK5EczDPRIXXf,0.814,0.635,7,-6.609,0.0809,0.0935,0.0,0.0892,0.784,87.581
41,4FTWaqY3G4sRmc1LukwdtD,0.58,0.624,9,-6.948,0.255,0.192,0.0,0.113,0.472,97.315
42,7gFxBurrSxA2wIkgFpORHq,0.714,0.768,0,-3.452,0.123,0.503,4.08e-05,0.0799,0.602,85.961
43,4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007
