,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0N9C80kcgL0xXGduKnYKWi,0.735,0.812,2,-4.417,0.151,0.528,0.0,0.186,0.584,109.835
1,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,0.0719,0.00076,0.0049,0.361,0.172,122.961
2,6Vh03bkEfXqekWp7Y1UBRb,0.663,0.857,2,-2.16,0.0544,0.0542,0.0,0.144,0.931,126.039
3,7fYRg3CEbk6rNCuzNzMT06,0.824,0.697,11,-4.869,0.0473,0.158,4.11e-05,0.077,0.757,99.988
4,0loZn1c5heXie7OAtvK6nH,0.401,0.553,5,-8.263,0.0337,0.47,2.96e-06,0.124,0.364,79.144
5,0twaTHqMG7xYjX2zHyfjDy,0.648,0.729,11,-3.836,0.374,0.51,0.0,0.349,0.526,203.709
6,1ozrNv9W4KlprAmvgH0Yrq,0.685,0.841,2,-2.932,0.0942,0.118,0.0,0.26,0.59,97.929
7,5jsw9uXEGuKyJzs0boZ1bT,0.752,0.754,1,-6.684,0.0615,0.0151,0.0,0.0486,0.755,149.789
8,72yP0DUlWPyH8P7IoxskwN,0.667,0.75,0,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041
9,2rOnSn2piaqLAlYjtfUBlY,0.72,0.63,10,-5.549,0.0413,0.615,0.0,0.108,0.512,81.009
10,3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021
11,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902
12,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,10,-8.022,0.117,0.579,0.000333,0.104,0.337,163.255
13,5zfRl79umXWvKoA7p4KEPa,0.709,0.929,5,-1.583,0.061,0.0431,0.00648,0.125,0.477,103.01
14,1D4XFKolp63mNqqMXJJL1V,0.474,0.707,7,-4.534,0.0253,0.0831,0.0,0.162,0.224,83.235
15,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
16,1baPQLla6DiltWyqOpxbzR,0.506,0.58,8,-7.629,0.0355,0.476,0.223,0.192,0.304,127.973
17,1kPpge9JDLpcj15qgrPbYX,0.56,0.872,3,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05
18,3Bh3NOzgOPlgJwpGz8P8Dt,0.416,0.475,6,-9.547,0.0325,0.105,0.0227,0.111,0.0782,79.998
19,0FoAlOXHI6KJ4RHP9v8jnw,0.815,0.801,7,-4.271,0.143,0.229,1.14e-05,0.0762,0.533,96.473
20,1VVqsCfNCti67jzUKNjSKw,0.849,0.853,6,-3.4,0.159,0.355,0.0,0.0896,0.794,129.966
21,2eTkxblLeqdTSsb2ivafDX,0.43,0.612,10,-5.534,0.0392,0.432,2.29e-06,0.0955,0.241,85.959
22,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937
23,5aw6a4ZzgCe92pV6ODc8vC,0.787,0.869,6,-2.965,0.0748,0.17,0.0,0.207,0.618,95.032
24,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
25,2MmFjAVcE3xB22CfY83XDX,0.752,0.585,8,-6.526,0.052,0.161,0.00651,0.253,0.3,92.009
26,1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035
27,42ydLwx4i5V49RXHOozJZq,0.319,0.739,0,-5.74,0.272,0.0285,0.0,0.111,0.449,194.169
28,22PMfvdz35fFKYnJyMn077,0.621,0.82,10,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905
29,2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.339,0.0385,0.66,0.0,0.0914,0.803,96.051
30,4txsSBdT4yVJtUj41YaQEB,0.959,0.524,1,-7.262,0.183,0.0686,0.0,0.0913,0.285,102.022
31,6Tio0ZoDeSQnI7EBAqWer2,0.476,0.594,5,-6.879,0.135,0.0599,0.0,0.0785,0.314,159.702
32,29m79w9xPMH4YCD6r8JSmV,0.837,0.717,5,-7.749,0.0822,0.0842,0.0,0.149,0.494,94.984
33,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
