,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,1jaTQ3nqY3oAAYyCTbIvnM,0.923,0.604,11,-6.671,0.245,0.017,0.0,0.272,0.826,145.062
1,4jVBIpuOiMj1crqd8LoCrJ,0.835,0.699,8,-5.405,0.277,0.00671,0.0,0.195,0.547,154.981
2,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0.113,0.0161,0.0,0.744,0.576,153.993
3,1PS1QMdUqOal0ai3Gt7sDQ,0.629,0.696,1,-5.572,0.348,0.0195,0.0,0.0554,0.623,93.034
4,15hJmqqEtASVXl6sM7i4UF,0.615,0.6,10,-5.62,0.27,0.107,1.61e-06,0.283,0.0661,130.027
5,6Vh03bkEfXqekWp7Y1UBRb,0.663,0.857,2,-2.16,0.0544,0.0542,0.0,0.144,0.931,126.039
6,3S68RFe1lsdCdTMPIMJM3X,0.877,0.56,7,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971
7,3avYqdwHKEq8beXbeWCKqJ,0.652,0.812,3,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023
8,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002
9,1a019wP7IdYLexwbmfZPm3,0.474,0.805,1,-5.997,0.332,0.0715,0.0,0.147,0.109,131.001
10,2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887
11,3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021
12,5dMKsEQSlR2ITYpScl7UMd,0.572,0.664,8,-6.362,0.206,0.434,0.0,0.109,0.278,79.196
13,6wJYhPfqk3KGhHRG76WzOh,0.774,0.554,0,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034
14,0AS63m1wHv9n4VVRizK6Hc,0.555,0.662,11,-4.952,0.0827,0.125,0.0,0.111,0.356,148.128
15,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
16,26BSvKusGvTFWVuTxUCCFf,0.889,0.63,11,-8.316,0.37,0.0204,0.0,0.0753,0.484,149.991
17,1jkHLTFc1j6HMHnaGq8QCH,0.694,0.622,8,-6.739,0.237,0.00603,0.0,0.208,0.339,133.914
18,4gbVRS8gloEluzf0GzDOFc,0.742,0.713,1,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032
19,42tD9J0KCPFSc1d2hFTvAf,0.567,0.773,11,-5.166,0.0775,0.0396,0.0,0.111,0.496,160.08
20,0S5otf3yhH2NIozxJPJTeV,0.654,0.938,5,-0.451,0.0721,0.149,0.0,0.0747,0.666,127.994
