,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,2RaA6kIcvomt77qlIgGhCT,0.362,0.961,2,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019
1,3QIks8fZm1jZYcl1kdH8Jb,0.372,0.878,10,-7.098,0.0476,0.00268,0.353,0.149,0.376,154.922
2,6oLb4m0HlijuaxtQIbvAhp,0.48,0.676,4,-7.727,0.0631,0.00996,0.642,0.116,0.199,144.514
3,6J0bdIZElZMymahgVWRE9B,0.724,0.652,3,-6.869,0.0247,0.46,0.000142,0.101,0.75,106.911
4,2kkvB3RNRzwjFdGhaUA0tz,0.404,0.902,1,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669
5,69Gok1fd35MS1GSztlFTee,0.667,0.873,8,-5.403,0.0303,0.0567,0.00947,0.073,0.516,110.027
6,6qUEOWqOzu1rLPUPQ1ECpx,0.761,0.711,9,-7.989,0.0604,0.0174,0.000101,0.0652,0.947,105.448
7,2FjGp3KDbrqkTqyIIygaHD,0.72,0.45,2,-9.35,0.0552,0.226,0.0,0.103,0.895,78.003
8,1soxUgYIZb1qx1c7o1Lc7z,0.423,0.73,9,-5.566,0.032,0.00495,1.13e-05,0.238,0.66,205.972
9,6rrKbzJGGDlSZgLphopS49,0.485,0.843,1,-3.993,0.0467,0.00129,1.01e-05,0.14,0.602,78.001
10,7i3VcCx9tvMKjWcPjf57eu,0.676,0.645,0,-7.8,0.0316,0.0221,0.000291,0.086,0.896,113.088
11,2EC9IJj7g0mN1Q5VrZkiYY,0.635,0.686,9,-15.648,0.053,0.209,0.0176,0.282,0.464,125.988
12,4CcrLWFQY4dRGMbUR59cSp,0.548,0.673,1,-5.29,0.0268,0.0158,0.0,0.0794,0.652,81.947
13,7ETGCDpytsS7Jiz028U7dQ,0.475,0.861,2,-5.507,0.0376,0.00153,0.00108,0.199,0.402,116.378
14,3EYOJ48Et32uATr9ZmLnAo,0.618,0.748,0,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114
15,0lVdukU9ejbFQwZIhg47hx,0.6,0.869,0,-5.126,0.0302,0.00345,0.441,0.311,0.56,117.064
16,30RZAuEkYeDXvy46Iv6l7E,0.701,0.5,8,-8.82,0.0303,0.46,0.0,0.234,0.409,97.028
17,0PV1TFUMTBrDETzW6KQulB,0.59,0.672,1,-11.792,0.412,0.125,1.04e-06,0.147,0.688,206.247
18,2z9UjbogG19LVewk1W9KBz,0.762,0.489,7,-12.645,0.0305,0.244,1.62e-06,0.229,0.764,109.004
19,0nGXi46VcQQ56ZJR428MKS,0.616,0.849,0,-4.897,0.0373,0.311,0.0,0.311,0.638,113.065
20,7FX3ZWE70VRjsprg5oeECc,0.598,0.914,4,-3.752,0.0878,0.0106,1.22e-06,0.369,0.531,103.972
21,15BsrefgYpMgu1ZCIr8EJw,0.398,0.92,2,-3.267,0.0491,0.00311,0.000531,0.108,0.226,200.131
22,5KQDGl3vAkNGyfvSbaW89E,0.612,0.921,0,-5.338,0.0705,0.0115,0.0,0.166,0.674,96.042
23,5TMVx89wRJaep6rI111aqp,0.603,0.604,6,-6.593,0.0273,0.321,0.0,0.166,0.641,96.07
24,31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
25,4opGTspdCCVK9IG1b4k8yp,0.831,0.59,1,-3.877,0.359,0.318,0.0,0.101,0.752,89.619
26,7nZCg1jgmXIjSBRifWkmaJ,0.797,0.415,6,-14.712,0.0395,0.467,3.92e-05,0.129,0.841,118.727
27,2K2M0TcglCRLLpFOzKeFZA,0.683,0.594,2,-8.289,0.0347,0.385,8.61e-05,0.121,0.734,115.099
28,46ZfPS5VpSQVU5gb82hg3K,0.458,0.976,0,-3.791,0.0459,0.00182,0.0,0.193,0.76,154.007
29,1BtZZWaQSLO24CFyi5Wttf,0.457,0.883,4,-5.32,0.0397,0.0535,0.00133,0.256,0.722,154.229
30,0hlou0hEfL2aS9FpJMX2OW,0.534,0.702,7,-5.442,0.0251,0.00145,0.00472,0.12,0.301,84.025
31,2ZDTxtgFWIkYabqKN2Jzf3,0.171,0.902,9,-4.731,0.0575,7.36e-05,0.622,0.645,0.415,89.218
32,2ntj6zoYOXfdQDzxo2kHrD,0.902,0.653,4,-5.425,0.284,0.19,0.00102,0.0895,0.863,94.068
33,42ADpNS02UiRbRGyRYypFS,0.648,0.936,8,-2.834,0.0358,0.00247,0.000173,0.169,0.671,124.027
34,558XMczFvyHKnUzGNqVJbK,0.55,0.836,11,-5.485,0.0362,0.00837,0.758,0.0934,0.787,141.988
35,68SF3r98xzVU2NTM1NhFxd,0.389,0.88,2,-4.698,0.0656,0.000182,0.000804,0.402,0.444,159.94
36,0vLwL4xuJ3s7SeaCdvMqkY,0.551,0.628,2,-13.799,0.036,0.0336,0.000194,0.151,0.777,142.167
37,550JPXXPgjr1xqxtKIaX6b,0.699,0.793,1,-4.856,0.268,0.00514,2.75e-06,0.7,0.929,94.138
38,0G21yYKMZoHa30cYVi1iA8,0.453,0.987,8,-4.485,0.0889,0.0195,0.283,0.268,0.316,123.544
39,4Xx0J00u90QvnG3rwz4Itp,0.681,0.891,6,-4.28,0.0408,0.000672,1.07e-06,0.0631,0.556,100.008
40,52QeuuXWneOGbkThonvqZJ,0.524,0.735,9,-5.919,0.025,0.0982,0.00182,0.108,0.361,106.222
41,5HNCy40Ni5BZJFw1TKzRsC,0.472,0.366,11,-12.595,0.0286,0.15,0.312,0.0837,0.171,127.163
42,254bXAqt3zP6P50BdQvEsq,0.73,0.487,4,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965
43,6MjfEIHOMW6MaDO3LpFcmW,0.452,0.238,0,-14.175,0.0316,0.503,6.06e-06,0.0745,0.336,189.999
44,4qM461TqtpnP4GLRIXwEnW,0.714,0.935,5,-5.195,0.0849,0.0529,0.0934,0.0515,0.725,121.232
45,1vjfzSzzlwwc7eJnT3tRla,0.465,0.802,2,-5.414,0.0393,0.00414,3.25e-05,0.126,0.495,119.993
46,2rxQMGVafnNaRaXlRMWPde,0.551,0.402,11,-7.431,0.0262,0.676,0.0,0.0928,0.382,103.313
47,3fqwjXwUGN6vbzIwvyFMhx,0.392,0.37,9,-10.888,0.0298,0.205,0.0096,0.0821,0.512,48.718
48,3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,6,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296
49,4zQO4hbavXKqtIs8gHDRo9,0.633,0.817,10,-5.226,0.0384,0.0153,2.55e-06,0.112,0.438,128.01
50,5EwNOL1CWnM74ptsVvW9OV,0.727,0.493,9,-5.054,0.0269,0.476,5.69e-05,0.0354,0.616,134.608
51,6l9AVZVrvHw5u4nL3HL9N0,0.644,0.884,2,-4.577,0.0389,0.00973,0.0,0.0727,0.475,97.987
52,6wLr2oR8eqUG5Beleh2Crm,0.777,0.725,5,-9.012,0.047,0.126,0.0108,0.0917,0.851,128.349
53,0PdM2a6oIjqepoEfcJo0RO,0.267,0.953,1,-4.899,0.096,0.00211,0.0,0.283,0.568,84.989
54,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,5,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217
55,0xHeSdcedr1iMAzUudUbds,0.614,0.741,1,-4.985,0.0339,0.12,0.0,0.0916,0.544,114.002
56,0xuXRQJfxmdP6gvfDe2Z4L,0.765,0.766,0,-9.374,0.0348,0.41,0.052,0.177,0.923,128.177
57,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,0.0461,0.234,0.000252,0.205,0.768,80.823
58,1ytsxlw6P6gsCc3RrYweyj,0.589,0.809,7,-5.6,0.0283,0.0479,0.0,0.116,0.628,87.013
59,0MrkkxbgfHfbxrTg12oHd4,0.738,0.764,1,-4.29,0.0347,0.00037,0.278,0.292,0.777,130.011
60,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,0.0527,0.347,0.00389,0.104,0.535,112.067
61,5sFDReWLrZHLFZFjHsjUTS,0.305,0.833,6,-7.981,0.0398,0.000327,2.36e-05,0.091,0.586,100.675
62,1ZqLkiXJqLekCP1oIMOQP7,0.497,0.859,2,-5.575,0.0496,4.92e-05,0.00879,0.105,0.684,139.967
63,5WJvhSBtp1GJOjq8b7gY8C,0.708,0.506,4,-8.657,0.0642,0.123,0.0332,0.13,0.459,124.542
64,73PtlKAy67oP9EGeK1fZPi,0.407,0.971,5,-3.54,0.105,0.0245,3.06e-06,0.355,0.0754,124.503
65,5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066
66,5vollujufHY0jMZxx77VWr,0.539,0.702,6,-7.291,0.0436,0.00245,2.37e-05,0.117,0.206,118.106
67,4pamtQ2nk538ljeuc8q6T3,0.689,0.629,9,-7.262,0.0384,0.0127,0.000213,0.0579,0.745,131.536
68,6nu9dBmmN5BMa5KiQXx5v9,0.728,0.746,6,-6.47,0.047,0.111,0.0281,0.102,0.955,124.104
69,4cuKwDw7T3JELdePWwa3hZ,0.369,0.615,6,-9.087,0.0465,0.326,8.62e-05,0.0791,0.526,80.473
70,3ILLqwupo1Aa6PBNXxV4ey,0.451,0.58,10,-8.616,0.0462,0.223,3.45e-05,0.101,0.111,164.163
71,442qmxYBvxb2ISrJCcnHvT,0.595,0.933,9,-5.038,0.0354,0.00219,0.000107,0.363,0.869,140.043
72,23RJg00mFONjIqYML6mtsE,0.729,0.705,11,-7.27,0.396,0.227,0.0,0.109,0.626,91.582
73,3EALhZYEmozlfqPszpxyPM,0.592,0.725,6,-4.599,0.0556,0.0118,0.0,0.109,0.461,118.055
74,7yrJnekdlwWARt5lmVqJ6L,0.671,0.724,7,-5.61,0.0244,0.292,0.0,0.231,0.801,99.976
75,0VhjSCScYGOmEKr24FBNSM,0.482,0.944,11,-3.703,0.0453,0.0225,8.24e-06,0.336,0.754,160.033
76,3BT0Pl4WjVM3Kk78R80YLo,0.569,0.909,11,-4.644,0.0311,0.00134,0.000976,0.101,0.932,151.48
77,2vfvGlqCB7oertO5VLE0sz,0.918,0.734,11,-2.832,0.269,0.0296,8.01e-06,0.191,0.608,97.044
78,1ppTqTBXqnlVGPxlluGHRE,0.452,0.652,0,-6.713,0.0282,0.000561,0.0,0.0948,0.64,163.935
79,3Qp5JN3X4IpnaPxSMC9ayh,0.518,0.484,3,-7.95,0.0289,0.174,0.0111,0.105,0.2,128.145
80,1KcmugpUozu6Llj3p5Qboa,0.317,0.963,4,-6.172,0.08,0.000168,0.0,0.19,0.46,170.346
81,2JPgcccyZ938uv9AjCGMWq,0.557,0.844,7,-4.623,0.0376,0.00965,0.0,0.0536,0.756,147.079
82,3mPJHVpCvzykoxmWnYdnFq,0.712,0.902,6,-7.426,0.355,0.114,0.000216,0.394,0.402,98.938
