,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,0.0489,0.308,0.0,0.0939,0.479,107.969
1,219slQu3ALbTSAe9P22hvE,0.502,0.168,1,-14.061,0.0486,0.885,0.0,0.111,0.355,112.881
2,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881
3,0KQRhak4Irr2CKxgQ9U6ay,0.502,0.416,7,-9.504,0.433,0.912,0.0,0.0934,0.433,175.191
4,3zksbXteOCeSusJ5Xltr3t,0.509,0.0167,9,-24.639,0.115,0.979,2.72e-05,0.387,0.229,207.97
5,58d2fDizWMpMVnim2IDZME,0.688,0.307,9,-18.278,0.0939,0.527,0.000713,0.719,0.0388,141.987
6,4bYwK4mvWubnAkCextxH2d,0.612,0.691,10,-10.67,0.0454,0.419,0.0242,0.145,0.632,151.029
7,6yP9ZYK6fNkFVv20nS2jAj,0.49,0.311,0,-14.03,0.0405,0.913,0.00453,0.111,0.662,74.04
8,0iNZGC211wst3VjtobNnC5,0.326,0.397,6,-8.145,0.0461,0.619,0.0,0.0979,0.276,153.713
9,6iaSML1PIYq936g62BDtBq,0.623,0.692,2,-5.122,0.0504,0.328,0.0,0.153,0.566,79.899
10,0tIDrrr1ybzsvdbnwTHh9U,0.551,0.299,0,-6.956,0.0447,0.29,4.38e-06,0.114,0.0922,123.58
11,7HWetAoWK9qkFM575HONAY,0.631,0.226,11,-7.257,0.0396,0.879,0.0,0.115,0.0765,79.968
12,2pg2TiYo9Rb8KeB5JjP7jS,0.741,0.61,6,-7.34,0.0511,0.316,0.0,0.534,0.72,125.99
13,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95
14,0jLQ1SiuIfS1RQZgG70bel,0.549,0.15,11,-14.758,0.041,0.944,0.0,0.0889,0.468,129.328
15,4UGvqm3e7UElrrriPtnhwz,0.663,0.287,9,-9.469,0.0344,0.854,6.85e-06,0.346,0.438,82.457
16,7FjKU2mfpEpvKIbx8naZRk,0.471,0.474,5,-6.355,0.0382,0.723,0.0,0.0964,0.262,120.656
17,6jgkEbmQ2F2onEqsEhiliL,0.501,0.765,6,-7.063,0.0281,0.00294,0.49,0.184,0.46,91.771
18,0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555
19,2xZ0zfuDTv5LxLhEgD82PG,0.618,0.474,5,-12.097,0.0789,0.182,0.000122,0.108,0.397,119.999
20,7CiDwKE62N6ey3LyG6s7xc,0.408,0.338,4,-13.626,0.0431,0.521,0.000639,0.0732,0.1,133.943
21,4tfHCaVX4GloSEzXmnPqON,0.885,0.576,5,-7.494,0.379,0.242,0.0,0.119,0.221,120.032
22,5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,11,-6.972,0.0287,0.374,0.0,0.194,0.397,95.971
23,7wuOAM9HfKEWPQBTPUdVzv,0.652,0.556,2,-10.261,0.047,0.387,0.00134,0.191,0.598,100.01
24,5isDcWQsvpufU4FAVadU9I,0.445,0.333,5,-11.308,0.0334,0.526,0.00168,0.143,0.393,137.959
25,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,0.0378,0.969,0.267,0.641,0.1,86.997
26,0j1Ia2lQWrcXrQZI4AdJlk,0.648,0.308,1,-11.729,0.04,0.886,0.0774,0.124,0.198,76.997
27,6hjh2phISvfR1Ib6S0FK7b,0.691,0.0682,5,-18.186,0.0645,0.951,0.0,0.0916,0.352,76.94
28,7795WJLVKJoAyVoOtCWqXN,0.677,0.485,5,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001
29,5XMiziJ3bT3zHZzzHW2QtP,0.616,0.485,5,-8.516,0.0386,0.619,0.00126,0.307,0.283,130.027
30,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0.0308,0.0529,2.14e-06,0.115,0.213,166.159
31,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,0.0288,0.536,0.0,0.135,0.236,89.792
32,29Co9NKhOM5R9vWCrpkPPK,0.551,0.268,2,-9.954,0.0427,0.805,0.0,0.0977,0.335,77.079
33,46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981
34,754zNJgoWQaGETFzSYVlmC,0.478,0.339,4,-7.355,0.0544,0.688,0.0,0.104,0.288,145.441
