,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,3CcvahnsiArpTHYQEWV2Au,0.759,0.891,11,-2.983,0.257,0.0298,0.0,0.141,0.587,98.579
1,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0.113,0.0161,0.0,0.744,0.576,153.993
2,3lAxntHH2z6L9wOFqCLYIq,0.326,0.786,2,-3.852,0.0481,0.00564,0.000113,0.201,0.0805,75.049
3,32OkBQinMWqa7ZydEkHqVi,0.886,0.542,1,-5.424,0.338,0.113,0.0,0.151,0.314,83.519
4,5Ab5zQolgqTD0gOIiiBSGv,0.735,0.561,1,-11.444,0.0909,0.184,0.529,0.148,0.244,107.998
5,7wzbufdRtWncYjcUrmk01B,0.385,0.963,10,-4.483,0.119,0.0057,0.00197,0.25,0.522,155.025
6,5Qy6a5KzM4XlRxsNcGYhgH,0.364,0.752,2,-5.429,0.304,0.0007,0.0,0.318,0.606,79.119
7,2NyrXRn4tancYPW6JwtTl2,0.851,0.625,10,-5.417,0.303,0.195,0.0,0.266,0.668,99.061
8,0Sd0kdgU6HrIclxYjuV99j,0.863,0.587,2,-7.455,0.295,0.209,0.0,0.0832,0.749,93.29
9,225I92Od6UNxwRJx9rUiyV,0.912,0.695,6,-7.751,0.0771,0.218,0.0,0.11,0.716,99.044
10,27qLV9EutQkEnn5bS8wji5,0.867,0.954,9,-0.423,0.273,0.18,0.0,0.157,0.507,107.978
11,7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
12,2NLrXo0Uncfz6dNk9KQXJU,0.822,0.469,1,-11.299,0.152,0.0296,0.0,0.35,0.366,95.005
13,32zhF8yXc1lej5EcudJXp7,0.775,0.559,2,-8.149,0.0474,0.0102,0.0,0.116,0.489,129.014
14,2IfhcF9NnpoBBdbdmAifx0,0.604,0.921,2,-1.175,0.183,0.00716,0.875,0.268,0.586,183.462
15,4U5ovGD4My7MOISvUEtYaf,0.885,0.365,6,-14.107,0.263,0.00112,0.0,0.264,0.637,100.048
16,34lfu3S4fIcKZRNXzbdbo7,0.822,0.981,9,-1.321,0.109,0.000593,0.748,0.0938,0.404,115.005
17,6uIpf2e5PrB0ZMufi0AWpL,0.772,0.659,2,-5.388,0.283,0.213,0.0,0.317,0.815,143.716
18,5BbdKBZO0TH0GhfxUfyhL9,0.877,0.517,2,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996
19,10xoYOYNZbiXjue8pKAksZ,0.545,0.384,2,-5.566,0.0782,7.81e-05,0.873,0.197,0.534,85.016
20,01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,0,-8.193,0.089,0.0361,0.0,0.111,0.211,131.965
21,1IIxXYokMte6KEQHxJynu9,0.457,0.932,5,-3.984,0.0849,0.0577,0.00014,0.587,0.659,189.88
22,3HsFSrIsbO54TFDfG66pZm,0.685,0.76,2,-7.813,0.0512,0.0199,0.151,0.0866,0.781,160.035
23,2lLG56qpLP3UbcLuzMvkWX,0.856,0.57,9,-4.486,0.286,0.00637,0.0,0.0984,0.155,154.967
24,5mqzhMuUpvnMfwNz6iepmO,0.618,0.845,2,0.175,0.132,0.114,0.0,0.415,0.486,171.921
25,3WibbMr6canxRJXhNtAvLU,0.746,0.978,9,-5.324,0.0978,0.0555,4.11e-05,0.026,0.653,153.809
26,1djfwy9FvafpK4KhznjjeI,0.756,0.532,6,-6.508,0.0934,0.072,0.0,0.0579,0.869,149.975
27,4cuBQhxCjoXW9EX2UqeQwo,0.258,0.747,4,-4.857,0.0417,0.00689,1.2e-06,0.37,0.321,120.619
28,3aGibUHhQyBsyumYHylw0K,0.546,0.651,1,-7.601,0.3,0.000739,0.0,0.235,0.646,77.878
29,2zUtu0lKCtjbMTOuVoroEI,0.651,0.812,1,-0.771,0.116,0.067,5.75e-06,0.176,0.226,159.97
30,7sjwaBQ6M3aVigYfBjm1sL,0.37,0.87,5,-2.09,0.271,0.0415,0.0,0.604,0.331,79.092
31,6k0X05danQOXSBTVek5DU1,0.459,0.878,5,-1.399,0.0688,5.62e-05,0.000307,0.371,0.494,144.852
32,1SpNsamrPVcCSoAt1v803A,0.67,0.732,8,-7.55,0.264,0.115,0.0,0.446,0.337,120.07
33,7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,1,-7.002,0.29,0.0149,4.71e-06,0.121,0.4,159.98
34,4Kz4RdRCceaA9VgTqBhBfa,0.766,0.442,1,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8
35,3jGYpYY6jm48GArqKDnuwG,0.801,0.578,1,-7.148,0.201,0.0728,0.0,0.185,0.126,100.032
36,0C0OKMDnOvUyccUmwZO8AW,0.649,0.548,1,-6.879,0.183,0.0182,0.0,0.165,0.0748,76.002
